id,cnbf-28-4,dena-17-1,fnyi-28-3,glcb-26-1,homd-21-4,hopf-27-1,hopf-27-5,hopg-27-5,hrsp-27-4,klnd-20-3,klng-20-3,klng-20-7,mcmn-27-3,sqma-25-1,sqmb-25-4,chwh-27-1.csv,gw-11053.csv,skwe-24-1.csv,whte-28-4,klng-20-4,klnc-20-2,gw-11027,besc-36,besc-881,besc-886,besc-183
Jmax25,29.53,29.62,19.54,32.13,28.64,102.67,81.99,61.26,60.26,33.57,64.65,10.44,72.41,12.75,37.18,72.39,52.51,53.96,192.96,139.6,,77.72,49.38,46,53.75,
TempLeaf,25.19,25.82,27.65,25.26,24.9,26.58,25.06,25,24.89,24.82,24.91,24.81,24.9,24.62,24.87,26.5,26.6,27.01,25.59,25.57,,26.17,26.67,26.28,25.77,
betaPSII_NA,0.27,0.33,0.28,0.27,0.25,0.4,0.26,0.3,0.31,0.27,0.34,0.22,0.32,0.33,0.37,0.38,0.31,0.19,0.44,0.95,0.16,0.29,0.19,0.3,0.17,0.26
CO2c_Pa,3.31,3.55,0,1.67,0.64,11.23,17.13,13.93,28.87,31.75,6.53,31.38,9.95,34.43,7.04,11.37,4.44,22.14,13.44,23.73,6.61,12.04,27.19,9.84,9.79,4.47
VPDL_KPa,1.07,1.49,1.13,1.33,1.28,1.23,0.97,1.08,0.99,1.17,1.42,1.31,1.12,1.2,1.05,1.26,0.93,0.98,0.68,0.67,1.07,1.22,1.01,0.98,1.23,1.12
CO2i_obs_Pa,31.56,30.33,32.32,33.27,30.91,27.4,29.56,29.45,28.87,31.75,31.46,31.38,26.3,34.43,37.04,24.75,32.25,22.14,24.22,30.34,12.28,25.12,27.19,20.85,18.91,31.04
ChlFlPHIPSII_Obs_NA,0.27,0.28,0.27,0.34,0.25,0.51,0.51,0.52,0.5,0.37,0.51,0.18,0.49,0.13,0.3,0.54,0.53,0.52,0.52,0.41,0.31,0.51,0.49,0.39,0.46,0.18
gamma25_Pa,0,0.41,0,0.01,0.03,1.33,1.15,0.11,0,0,0,0,0.1,0,0,0.96,0,0.05,2.62,10,0,1.6,0,1.84,0.85,0.24
Rdlight_umolm_2s_1,0.36,0,0.62,1.13,0,3.7,0,3.11,1.7,0.12,3.54,0.43,1.25,0.91,4.96,1.66,5.14,5.11,2.73,0.84,0,1.33,0.8,0,0.66,0.53
SumSquare,0,3.84,4.2,2.44,0,11.72,0,0.1,0.01,0.85,4.39,1.39,0.01,0.74,0.19,8.87,5.55,0,0,0.18,,0.03,0.12,0.03,0,
Rdlight25_umolm_2s_1,0.35,0,0.52,1.11,0,3.31,0,3.08,1.7,0.12,3.55,0.43,1.25,0.93,4.98,1.5,4.63,4.31,2.61,0.79,0,1.21,0.71,0,0.59,0.44
phifactor,1.03,0.93,0.7,0.93,1.02,1.01,1.07,1.04,1.05,0.94,1,0.62,1.06,0.62,0.86,1.01,0.99,1.04,1.07,0.94,,0.99,0.91,0.94,1.06,
Resistch25_Pasm2umol_1,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0.99,0,2.4,0,0,0,0.68,0,0,0,0,0
