id,cnbf-28-4,dena-17-1,fnyi-28-3,glcb-26-1,homd-21-4,hopf-27-1,hopf-27-5,hopg-27-5,hrsp-27-4,klnd-20-3,klng-20-3,klng-20-7,mcmn-27-3,sqma-25-1,sqmb-25-4,chwh-27-1.csv,gw-11053.csv,skwe-24-1.csv,whte-28-4,klng-20-4,klnc-20-2,gw-11027,besc-36,besc-881,besc-886,besc-183
Jmax25,221.9,19.16,,28.22,38.91,76.74,69.09,203.8,58.82,97.68,157.51,149.51,73.56,70.92,63.62,59.62,21.72,36.65,30.32,47.11,43.09,54.48,45.75,89.21,71.67,34.14
TempLeaf,28.19,26.54,,26.77,26.63,25.95,27.75,27.33,27.24,26.35,25.54,25.63,26.75,27.37,26.82,27.24,27.03,28.24,26.47,25.75,26.06,27.58,27.34,26.21,26.38,27.34
betaPSII_NA,0.74,0.17,0.44,0.18,0.33,0.53,0.58,0.75,0.4,0.58,0.55,0.56,0.46,0.36,0.4,0.33,0.22,0.29,0.19,0.48,0.28,0.29,0.26,0.32,0.25,0.31
CO2c_Pa,30.74,1.98,0.61,1.61,4.16,12.37,21.81,22.36,11.68,12.24,21.99,19.29,12.22,1.85,20.4,27.17,1.76,4.71,16.79,7.6,0.2,5.12,5.21,6.49,4.91,2.66
VPDL_KPa,1.18,1.21,1.25,1.19,1.15,1.14,1.32,1.24,1.45,1.4,1.24,1.01,1.2,1.04,0.9,1.07,1.35,1.57,0.9,0.96,1.1,1.1,1.18,0.97,1.13,1.09
CO2i_obs_Pa,31.73,25.93,30.69,29.93,28.56,26.47,30.28,27.31,22.7,27.3,30.68,30.56,28.39,17.07,32.96,27.17,28.07,28.27,16.79,12.71,23.92,33.23,31.34,27.89,15.51,30.91
ChlFlPHIPSII_Obs_NA,0.61,0.37,0.18,0.4,0.32,0.42,0.31,0.55,0.44,0.47,0.59,0.53,0.49,0.46,0.46,0.51,0.3,0.52,0.4,0.32,0.24,0.53,0.41,0.52,0.51,0.4
gamma25_Pa,7.68,0,0.06,0,0.24,2.52,4.18,6.2,1.83,2.48,4.49,3.22,1.93,0.25,1.67,0.72,0.02,0,0.29,1.01,0,0,0.01,0.22,0.59,0.01
Rdlight_umolm_2s_1,6.14,0,0.51,0,0.62,0.05,0.59,3.49,0.76,0.51,2.72,2.33,1.9,0.64,3.81,1.06,0,4.7,1.35,0,0.24,7.08,2.28,3.1,2.56,1.81
SumSquare,0.26,1.04,,0.12,4.23,9.24,227.18,2.16,0.05,12.35,3.22,4.71,14.43,0,4.09,0.01,0.04,3.71,0.12,0.05,0,46.47,26.57,0.21,0.05,0.33
Rdlight25_umolm_2s_1,4.97,0,0.41,0,0.55,0.05,0.5,3,0.65,0.47,2.6,2.23,1.69,0.53,3.38,0.92,0,3.54,1.2,0,0.21,5.97,1.94,2.76,2.21,1.52
phifactor,1.04,0.78,,0.88,0.9,0.83,0.65,0.99,0.94,0.91,1.06,0.98,0.92,1,0.95,0.97,0.85,0.89,0.95,0.95,0.92,0.93,0.81,1.08,1.12,0.89
Resistch25_Pasm2umol_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
