CurveID,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS
NA,umolm-2s-1,umolm-2s-1,Pasm2umol-1,Pasm2umol-1,PaNA,,NA,NA,Flu.Anet.SumSqure,Flu.Electron.SumS
besc-103.csv,21.167147,0.663618,0,6.129097,0,0.92728,0.957157,0.280476,1.611713,2.967024
besc-106.csv,72.890424,3.098944,2.245975,0,0.272381,1.003076,0.861698,0.346571,0.995951,0.084321
besc-107.csv,66.750754,4.718437,2.385527,0,1.872056,1.053862,0.906018,0.29521,0.863162,0.905185
besc-110.csv,46.637279,1.084882,2.547,0,0.315096,1.06272,0.955369,0.298607,1.704029,0.014379
besc-113.csv,45.826385,0.664604,0,2.699929,0,1.034205,0.845477,0.306273,1.127188,0.013568
besc-118.csv,68.138078,4.627835,1.694817,0,2.147879,1.048282,0.922814,0.3014,0.889091,2.079034
besc-119.csv,150.221791,1.656479,1.838016,0,3.116533,1.052605,0.565508,0.558958,2.473842,0.000156
besc-11.csv,104.182228,1.94673,1.055914,0,1.56279,1.016411,0.913932,0.444848,0.370158,6.679635
besc-126.csv,59.025181,2.146161,1.754959,0,1.312083,1.024443,0.967153,0.298305,1.745382,2.838235
besc-12.csv,129.686653,1.200228,1.042329,0,5.549646,1.098824,0.85562,0.578208,0.499784,0.812174
besc-133.csv,23.915141,1.4641,0,0,0,0.894073,0.903704,0.381949,0.987283,0.003793
besc-134.csv,31.132283,5.294505,17.305487,0,0,0.968714,0.947792,0.251491,1.925215,2.037009
Besc-135.csv,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
besc-13.csv,18.731123,1.104698,3.094061,3.945694,0,0.735078,1.168821,0.370732,1.376873,4.264185
Besc-141.csv,41.790787,0,1.412549,0,0.962834,0.872693,0.853207,0.177038,0.77151,0.118079
besc-144.csv,9.282505,0.07966,0,0,0,0.783859,0.780948,0.186526,0.562913,0.000095
besc-145.csv,58.406537,1.007295,2.544075,0,0.207251,0.927093,0.908905,0.328713,0.62931,2.596699
besc-148.csv,50.622374,0.915431,0,0,0,1.090023,0.1,0.104137,2.149842,0.000006
Besc-149.csv,76.79162,2.590821,1.921397,0,0.391713,1.000717,0.962938,0.324853,1.129282,16.190922
besc-14.csv,25.099251,0.980323,14.922493,0,0,0.867851,0.329851,0.342002,0.662538,0
besc-158.csv,74.782564,3.852447,1.147105,0,1.746471,1.020789,0.901198,0.364024,2.733265,1.014387
besc-159.csv,29.556025,1.294565,0,6.342156,0,1.001602,0.704935,0.279948,0.876509,0.000017
besc-161.csv,115.8779,1.444452,1.24824,0,1.451877,1.051247,0.86614,0.455605,2.1259,7.385345
besc-169.csv,36.748167,1.25189,0,0,0,1.059498,0.8184,0.244089,1.150549,0.000031
besc-170.csv,62.302424,0.619952,1.47867,0,1.247653,1.017559,0.893835,0.357064,1.276301,0.036531
besc-171.csv,33.012575,0.356039,3.422066,0,0.656979,0.920336,0.821502,0.269503,0.97479,0.013525
Besc-173.csv,93.827485,0.503586,1.038223,0,2.38954,1.109409,0.777269,0.245033,0.643328,0.153161
