num_id,id,Duplicate,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS,ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend
24,besc-161.csv,Unique,5.78,134,74.03,5.064935065,115.8779,1.444452,1.24824,0,1.451877,1.051247,0.86614,0.455605,2.1259,7.385345,1,22.565549,0.06893,15.72785,-1.627511,0.075392,0.000305,-0.142071,0.766571,-0.000646,-0.000275
25,besc-169.csv,Unique,15.455,293,46.28,6.428571429,36.748167,1.25189,0,0,0,1.059498,0.8184,0.244089,1.150549,0.000031,1,33.831393,0.04796,6.244337,-1.843417,0.061534,0.000005,0.381716,7.933941,-4.833812,0
26,besc-170.csv,Unique,11.875,194,42.3,6.774891775,62.302424,0.619952,1.47867,0,1.247653,1.017559,0.893835,0.357064,1.276301,0.036531,1,16.649618,0.06042,9.530861,-1.057973,0.06676,0.000025,-0.062605,0.752338,-0.000864,-0.000241
27,besc-171.csv,Unique,11.315,170.5,56.69,3.883116883,33.012575,0.356039,3.422066,0,0.656979,0.920336,0.821502,0.269503,0.97479,0.013525,1,11.853508,0.039537,6.178551,-0.486263,0.042542,0.000017,0.334366,4.2921,-1.532423,0
28,Besc-173.csv,Unique,11.1,274.5,44.98,5.454545455,93.827485,0.503586,1.038223,0,2.38954,1.109409,0.777269,0.245033,0.643328,0.153161,1,21.997991,0.037488,10.804398,-0.854625,0.040239,0.000542,-0.311217,0.778798,-0.000443,-0.000272
29,besc-181.csv,Unique,9.215,201,63.12,7.034632035,43.58208,3.656869,5.580872,0,0,0.94745,0.955027,0.343505,2.528898,1.160136,1,83.9741,0.038825,7.105555,-3.457383,0.040951,0.000014,0.376081,3.451991,-1.385447,0
30,besc-183.csv,Sametree_Dup,12.675,265.5,32.84,3.181818182,NA,0.440239,16.430825,0,0.243006,NA,NA,0.256308,0.862444,NA,1,15.42439,0.036104,2.113627,-0.636002,0.046814,0,0.214946,8.176836,-3.796223,0
31,besc-183.csv,Unique,12.675,265.5,55.79,3.463203463,34.139483,1.518192,4.997497,0,0.005064,0.891094,0.955777,0.305405,1.068694,0.328303,1,39.474845,0.042288,7.880368,-1.795632,0.04859,0.000029,0.364947,3.710027,-1.703578,0
32,besc-184.csv,Unique,13.51,289,72.29,8.392857143,89.15358,1.67176,0.656155,0,2.334482,1.104916,0.832584,0.348956,2.063793,0.245321,1,38.451414,0.052519,11.385327,-2.195715,0.061903,0.000201,0.523057,2.789033,-0.852663,0
33,besc-19.csv,Unique,16.495,277.5,92,9.172077922,NA,0,0.594959,0.001799,0.005482,NA,NA,0.119685,9.339849,NA,1,46.851579,0.413388,3.354386,-0.672932,0,0,0.40148,6.86063,-4.389123,0
34,besc-191.csv,Unique,12.99,254,65.47,4.902597403,50.562446,1.742262,3.959529,0,0,1.03721,0.852531,0.346945,0.383341,0.000468,1,37.770745,0.049627,8.531443,-1.804339,0.044485,0.000001,0.017325,0.763956,-0.001311,-0.000159
35,besc-2.csv,Unique,15.37,330.5,60.78,9.372294372,57.295209,4.697603,1.937773,0,0.547636,0.79542,1.12139,0.343526,1.317089,40.197365,1,104.06645,0.044436,10.799068,-5.405476,0.059185,0.000295,0.485959,9.569309,-7.231436,0
36,Besc-202.csv,Unique,5.135,63,15.3,0.909090909,9.872654,0,0,0,0,0.808336,0.776372,0.17864,1.118389,0.001581,1,NA,NA,2.583161,1.10868,0.000988,0,0.056127,0.597931,-0.002254,-0.000015
37,besc-204.csv,Unique,13.935,235,39.19,3.733766234,70.30256,0.657461,1.865163,0,1.813636,0.956109,0.943562,0.377922,0.319928,8.452527,1,14.559674,0.056004,10.218254,-0.846884,0.060376,0.000067,0.447637,9.482437,-5.209652,0
38,Besc-205.csv,Unique,9.58,190.5,125.5,2.402597403,39.729305,0,3.009624,0,1.305394,0.900279,0.862182,0.321771,1.792587,0.032039,1,5.045961,0.050102,6.184318,-0.25788,0.052122,0.000002,0.057162,0.680279,-0.001114,-0.000131
39,besc-208.csv,Unique,13.04,221,59.96,4.766233766,68.689728,0.428746,1.071087,0,2.105679,1.009485,0.885621,0.321542,1.231249,0.964264,1,16.808687,0.051757,11.122306,-0.902624,0.055683,0.000173,-0.150446,0.743545,-0.000676,-0.000273
40,besc-209.csv,Unique,6.17,162.5,37.62,3.409090909,26.514799,0.868769,10.317922,0,0,1.028398,0.623137,0.300873,1.662225,0,1,17.563162,0.033376,3.743547,-0.632425,0.038763,0.000001,0.067872,0.718955,-0.00255,-0.000023
41,besc-214.csv,Unique,13.9,270.5,23.43,5.974025974,77.868549,0.207276,2.820805,0,0.338204,1.005707,0.234508,0.253921,1.716414,0.001571,1,12.790975,0.048829,6.984308,-0.652148,0.053198,0.00001,0.363544,5.325984,-2.146165,0
42,besc-215.csv,Unique,11.87,156,85.51,4.87012987,97.921602,2.188459,1.185002,0,1.741908,1.017694,0.804741,0.399747,0.68395,0.131543,1,44.992924,0.053877,13.355916,-2.637291,0.063566,0.000417,0.48007,9.00301,-6.586462,0
43,besc-220.csv,Unique,10.58,242.5,99.48,3.701298701,55.564832,2.301268,2.857429,0,2.17477,1.013751,0.897775,0.375797,0.762765,0.034197,1,51.642972,0.044968,6.543562,-2.765,0.063034,0.000014,0.42071,5.67923,-2.36544,0
44,besc-227.csv,Unique,10.395,233.5,95.36,4.025974026,67.9796,1.427367,1.687474,0,0.626546,1.072805,0.885736,0.288349,0.322424,0.046521,1,30.541772,0.037471,10.712763,-1.145363,0.037503,0.000001,-0.765996,0.770186,-0.000636,-0.000387
45,Besc-228.csv,Unique,7.675,168.5,84.91,3.636363636,91.663492,1.235119,1.755955,0,0.288147,1.02248,0.785173,0.358801,2.23558,0.018361,1,24.799053,0.06222,13.958696,-1.623919,0.068835,0.000006,0.410749,5.94086,-2.837154,0
46,besc-229.csv,Unique,13.875,270,156.69,9.924242424,118.479186,2.458302,1.160522,0,3.302814,1.033243,0.890043,0.440951,0.666624,3.486884,1,48.093885,0.053857,14.035859,-2.820528,0.063648,0.000536,0.527615,6.668395,-3.364843,0
47,besc-230.csv,Unique,10.47,274.5,65.65,5.925324675,52.933974,0.2044,2.428609,0,0.963254,1.032505,0.814624,0.357937,1.015761,0.024521,1,3.238753,0.053921,8.780902,-0.176303,0.054953,0.000027,0.384183,8.443524,-4.006576,0
48,besc-231.csv,Unique,6.52,157.5,34.9,2.548701299,31.895792,0.726707,1.045944,0,1.355634,0.991292,0.785167,0.286939,0.670839,0.000213,1,20.643599,0.038601,5.010298,-0.861747,0.045042,0.000004,0.066574,0.717359,-0.00158,-0.000085
49,Besc-239.csv,Unique,8.63,164,43.72,2.662337662,NA,0,2.310995,0,0.259428,NA,NA,0.305431,1.899837,NA,1,-2034.04441,0.002127,99.931394,4.325266,0.002124,0.002119,0.072395,0.756679,-0.001943,-0.000064
50,besc-24.csv,Unique,7.575,128,87.2,4.805194805,25.11655,0,0,0,0,1.063695,0.710686,0.188179,8.089604,0,1,-1115.948351,0.002354,161.761716,2.678526,0.002446,0.002542,0.07015,0.766494,-0.001863,-0.000075
51,Besc-243.csv,Unique,8.425,187,86.72,3.246753247,111.541063,1.571746,0.62604,0,2.24706,0.975894,0.857324,0.463494,1.029394,3.757163,1,32.623164,0.061067,17.684954,-2.095493,0.067476,0.000885,-0.12635,0.722121,-0.000598,-0.000257
52,besc-245.csv,Unique,11.79,254.5,121.61,6.484230056,94.00631,2.94032,1.786328,0,0.175448,1.06124,0.868371,0.379501,1.306594,0.07381,1,54.293769,0.055612,16.054811,-2.941122,0.051581,0.000147,-0.417239,0.759266,-0.000609,-0.000327
53,Besc-247.csv,Unique,5.695,16.9,57.78,1.883116883,24.448825,0,0,0,0,0.952675,0.571876,0.153038,0.918407,0,1,NA,NA,4.398048,1.114755,0.009072,0.000025,0.066607,0.680611,-0.001386,-0.000093
